1-turPpKwEPwilF4WGdCAG_ugXguwhA3j	The Cyber Dimension of the Russia Ukraine War.pdf	2609639
1-vJT1QfnKheAXMg1Tk8HDFql-DqgrGyl	AHybridMachineLearningandThreatIntelligenceFrameworkforPredictiveCyberDefenseofUSCriticalInfrastructureSystems.pdf	141244
12VKDvxMN3cKlMD7oWZaSAdx4nlo-iCsU	ssrn-6169670.pdf	335333
13NGKZTX8xrR0icPLk0kPrps1TryjvQjv	AI_Powered_Big_Data_and_ERP_Systems_for.pdf	478449
14ikTPPJHBaPJUWy2sLh8EvIdxtCCUqlC	ssrn-5249574.pdf	870919
150h_fLfzAGu4R5tMwyL7_bDK2_FQnIBi	p-170-188.pdf	1518187
15LEtCVyS71nMS8kYZNzQqWTS9J59tVyW	V10N1_06_Sullivan_2025.pdf	242816
15LyDzhI5B_NTFIInIEF7Tu2ovUr3hsfm	ssrn-4409074.pdf	482980
16H1KC2Rm-voxDpySiQsyVkYzwANrYTpA	3649218.pdf	8872027
17Ixsjx5SHJxVW5MAnTd_aSZ_KMCjCTf8	ThefutureofCybersecurityinrenewableenergysystemsAreview.pdf	496984
17JUcSAazHU11AjyCHBSA-p3Z-3_Hbj3b	Lehto_Cyber-attacks Against Critical Infrastructure_final.pdf	1546161
191R5HNf-UE3HZtnay5xKtey6NoQ7Syht	jis2024153_37801018.pdf	544065
19L3sUstIZLJZ0XjEZUJJqUC8ShIUZ1LX	jcp-04-00018.pdf	593224
19UXxXXCPMplI_AsginnoKOT2ZxAJoVr_	AnAI.pdf	140223
1BAxWaGGa4SCbOi-baXX-ggCIcznWu71x	Cyber+Threats+to+Critical+Infrastructure.pdf	281343
1BzyYYnLi1RVZWbGnv67OV9-H51KulO9-	OffensiveCyberandInformationWarfareStrategies.pdf	4349331
1D6wu-RnzJojtczV2eodARxG9qAJIui3r	eaad006.pdf	321229
1DU0XYUae72-pxCYkzXTHVzRO_-OouwhF	energies-18-00141.pdf	2242587
1DdhCAwUQOKEvgZ3mE5GW6y1st5u-CdZC	ExplainableDeepLearningModelsforHigh.pdf	164930
1E3ertlF9sGZgV7K9Ssn8HAPorMyZwPZG	maschmeyer-2022-subversion-cyber-operations-and-reverse-structural-power-in-world-politics.pdf	169950
1E8U6rg9Ot_I-EkEi_zA-eQ0U77Le6W6g	ADVANCINGCYBERSECURITYSTRATEGIESFORMITIGATINGTHREATSINEVOLVINGDIGITALANDIOTECOSYSTEMS.pdf	938307
1EqyAw7VY3pVjIW0Ne3jXjh0A_oCDkBpI	JoPH-025-9675316671689.pdf	686824
1FKc7q4xY6_l__MeJZKkzcRKpNDEiu22z	thesis.pdf	1255955
1HOhjahRP0tJW7j8e5hSqSfpDrx6gKR6L	000000162185.pdf	1274750
1Hq0ewNE2lt0XzrM5-N-M1HlFQIItJ9Oi	20190923_european_allies_in_us_multi-domain_operations_web.pdf	1071116
1KgKwN5xK0BTojxfDt8AyBU5jW7B3ISYh	applsci-12-06868.pdf	3076268
1Lal-jbVSMIhTNis2CG_BaG6UCW2Lp52K	Okusi17102024AJRCOS124252.pdf	380703
1LlbIPP89Chz6Udz3h59tMG0xmTXEYOq_	Codreanu_PP43_EN.pdf	892669
1M0uk9i03zMQxot6DmvoNH_I-yjWpjat1	1-s2.0-S1569190X23000229-main.pdf	1560102
1M3IEZfmRSummMSvNq_5nI3e1zmlL9EyI	INSS Memorandum 153 - Guidelines for a National Cyber Strategy.pdf	704625
1MRDbOSWiTyyniNC684T96VprL7EACfSm	DesigningaNational.pdf	147952
1Mf6-I_pfJNo-jsBdWvzkiWciLX3bZDdu	Re-ordering accountability  The significance of joint public attribution in a fragmented cyberspace.pdf	1044872
1MstIHWIswvjVrho5BIPUO4YsC2fOP3re	22.pdf	131889
1NjAZ_bh2BKMZbn0oo63mTnCucZ1LCcYq	Navigating the nexus  geopolitical  international relations and technical dimensions of US-China cyber strategic competition.pdf	2002458
1NmCdS0Yqt-CS33GlHDo42UDAE34-sVSb	MEJNSAR_PEACE+CHINONYEREM+IKE.pdf	2045116
1NoIyBeJmcc6vD_qHUvVwuZ_2pKFTiVXt	20.pdf	201455
1NyL3lzaw2MzXl5S_tuwT_PYAZhPMugCv	AMulti.pdf	162762
1NyuvUS3XRhQTnUMm2CWeP5q9oVB2UjpI	ssrn-5360107.pdf	244634
1OUMP7f2h0FrR7_bHAOknvaYqRHIloAuC	Defense model to detect cyberattacks in critical infrastructures_ Machine Learning And Cyber Threat Intelligence Approach.pdf	8494785
1OgzOOuV9P7rhz4E9wgte5UoRBy_GeX4v	sensors-23-07999-v2.pdf	1779934
1OqkR-JOWrgbAPawP-Kn8xpwWvyF1AM6l	2405.04874v1.pdf	3242688
1Q-hHx_SmHwrFPIgo72TiTzj86LfX0zZZ	AutonomousCyberDefenseArchitecturesforNationalSecurityandCriticalInfrastructureProtection.pdf	169327
1QOBhtVJW1ej910JQnuyhUoihSZFX_thx	Paper+7+(2026.8.6)+A+National-Scale+AI-Driven+Cyber+Defense.pdf	563907
1QPZL2aM74JUU4o5yzDKt2GyDpz9tZYN8	Cybersecurity Risk in U.S. Critical Infrastructure_ An Analysis of Publicly Available U.S. Government  Alerts and Advisories.pdf	1716433
1QUIKubJzg-ZVVHlLjuWWoJQfjsu2ewOx	a57c82625e282a6b8ce5a88d6d21cd05a6dc.pdf	908716
1R06CqO7HiHkiEhHJda90o4UJidQ4N235	sensors-23-04060.pdf	835500
1REeFrtSO1fQz3TLW3iRUDvU51HZi2qNJ	sensors-25-01666-v3.pdf	711465
1SPVCAqyXCx2G0ZooXHafiwvfnc31Tp4I	Rose1415.pdf	167528
1SoSUCImI0eYhENMjaRXt6LGXAGyT7Hn1	EWS-Kumar-1541.pdf	928833
1UfHxTKUPyIw7GXwlFyaza65-9yKJWZWm	MP_Aljameele .pdf	7461842
1VDomU1RhqYvL3tP0dfdrRANWcNv-NM4X	HybridCNN.pdf	206949
1VlddZ_rqeKsEoZBk7LIwZA_FZlA6-F6F	Law Conflict and Hybrid Warfare_ A Teaching Imperative for a Ch.pdf	1658703
1XAxbqqs0LQGatUHbZB7A47LBCUzrK5CQ	CDR_V10N1_2025_web.pdf	2443241
1XFeXcD50xKnFoC9EdaDQ9jIDPRAogPzl	v-2025-i-2-p-2.pdf	1217509
1XRVm07k_ULFghQdLc0ZtDEiiSvfkEh4M	Volk.pdf	1381847
1XjduYivtiUlF2eP-Wf4SjKyvbav-8DnL	ssrn-5267856.pdf	371325
1Y4vyJYmUs0of5HsmQdjjTdMzH02gJ2SK	Cybersecurity_and_Protection_of_Cri.pdf	264798
1Yemegct49GaybKJ9qkat44kVhj51kjvE	mintoo_v1i122137169.pdf	1619577
1YwssC0gyuRxrLCgpjtuFLXpY9FTETKla	Strategies_for_protecting_IT_supply_chai.pdf	175755
1ZNgzQAdBW9i27mHsY6DwmZTwoJX9nrWB	ssrn-5267496.pdf	226035
1ZY2dTk0zwq7U29zM4669CMu4m67833pv	1-s2.0-S0149197023001737-main.pdf	997316
1aSBBQ8AHv9vK6vvBfhGAY_0pCiNU5jVh	Cyber+Warfare+in+the+AI+Era+Emerging+Attack+Trends,+Defensive+Strategies+and+Policy+Challenges,+2022–2026.pdf	1136254
1b9pWCsbsyqvQKAA-SWlZkq7RPd2SRb_V	ssrn-5424034.pdf	325561
1bAFQaUKwyVZSA11VNosYNqLWalP8Mt_y	51716_Egho-Promise%20et%20al._VOR.pdf	177292
1bUzlFsG_J2E0h7GvaLtvWz6OJkTCRcj8	DefendingtheDigitalHorizon.pdf	296927
